Round,attacker,rival,PitLap,rival_pit_lap,k,gap_s,pair,age_old,tt,rival_age,rival_compound,same_compound,pos_before,rival_pos_before,out_lap,pos_after,rival_pos_after,won,pace_delta_s,step0_s,gain_by_k_s,gain_lap1_s,margin_s,margin_lap1_s,needs_them_out_for,call_ahead,extrapolating
8,LAW,HAD,18,39,21,5.364999999999782,MEDIUM>HARD,17.0,50.79617316047465,17.0,MEDIUM,True,7,6,42,10,8,False,0.3986666666666707,1.6692490909509288,29.743119390935853,1.7927925514405156,24.37811939093607,-3.572207448559266,4.0,True,False
8,LAW,LIN,44,45,1,1.2529999999997017,HARD>MEDIUM,24.0,51.04677206759794,25.0,HARD,True,10,9,48,9,10,True,-0.2990000000000066,2.3494063752398637,2.4614438027669117,2.4614438027669117,1.20844380276721,1.20844380276721,1.0,True,False
8,LEC,ANT,12,23,11,2.270999999999731,MEDIUM>HARD,11.0,50.51953229821115,11.0,MEDIUM,True,5,4,27,3,4,True,0.4826666666666881,1.6582162930754996,18.05181430227629,1.7989904687138552,15.78081430227656,-0.47200953128587564,2.0,True,False
8,LEC,ANT,36,50,14,3.9589999999998327,HARD>HARD,22.0,50.9526231990338,11.0,HARD,True,4,3,54,6,3,False,0.9213333333333367,2.107548061098613,26.412778187436025,2.0898166391182587,22.453778187436193,-1.869183360881574,2.0,True,False
8,NOR,ANT,20,23,3,9.143000000000029,MEDIUM>HARD,19.0,50.831070109290586,19.0,MEDIUM,True,3,2,27,8,4,False,1.0339999999999918,1.670640826718397,5.2019799431532565,1.7884407154917277,-3.9410200568467726,-7.354559284508301,,False,False
8,OCO,BEA,32,44,12,3.220999999999549,MEDIUM>HARD,13.0,50.92911753127737,7.0,HARD,False,15,14,47,15,14,False,0.1703333333333319,1.6745510856011094,18.215785052916598,1.6285458432809807,14.994785052917049,-1.5924541567185682,2.0,True,False
8,PIA,ANT,18,23,5,6.329000000000633,MEDIUM>HARD,17.0,50.79617316047465,17.0,MEDIUM,True,4,3,27,5,4,False,0.38833333333334963,1.6692490909509288,8.476108751912179,1.7927925514405156,2.1471087519115457,-4.536207448560117,4.0,True,False
8,PIA,ANT,41,50,9,8.932999999999993,HARD>HARD,21.0,50.98089502046479,16.0,HARD,True,4,3,54,4,3,False,0.19599999999998374,2.108675578157612,18.103130530334305,2.191919588983273,9.170130530334312,-6.7410804110167195,5.0,True,False
8,VER,RUS,17,18,1,5.367000000000189,MEDIUM>HARD,16.0,50.77927368462618,16.0,MEDIUM,True,2,1,21,4,2,False,-0.17766666666665287,1.6685751178447457,1.7949903641924607,1.7949903641924607,-3.5720096358077287,-3.5720096358077287,,False,False
9,ALB,LAW,22,27,5,154.76800000000003,MEDIUM>SOFT,13.666666666666666,42.28362754131018,21.0,MEDIUM,True,22,7,30,22,8,False,1.0011666666666628,0.6732224573887278,3.775788805123092,0.869709657253827,-150.99221119487694,-153.8982903427462,,False,False
9,ALO,PIA,19,35,16,10.272999999999229,MEDIUM>HARD,18.0,42.38816167194518,16.0,HARD,False,21,19,39,19,15,False,4.178666666666643,1.2835686988103239,17.078265354227625,1.3910492154244638,6.805265354228396,-8.881950784574766,9.0,True,False
9,BOR,LIN,25,26,1,2.6989999999996144,MEDIUM>HARD,24.0,42.145560165972235,24.0,MEDIUM,True,10,9,29,10,9,False,-0.375,1.2740772176308275,1.391766899391257,1.391766899391257,-1.3072331006083573,-1.3072331006083573,,False,False
9,HUL,OCO,16,20,4,2.8029999999998836,MEDIUM>HARD,15.0,42.409895835183086,15.0,MEDIUM,True,15,14,23,15,19,True,-0.5063333333333304,1.2844190208250097,5.391973057366796,1.4185934387941708,2.5889730573669123,-1.3844065612057128,3.0,True,False
9,LAW,HAD,27,37,10,0.8969999999999345,MEDIUM>HARD,26.0,41.91586672864066,7.0,HARD,False,8,7,40,8,7,False,1.3790000000000049,1.2650907485289842,10.28752167609516,1.127592411842977,9.390521676095226,0.23059241184304247,1.0,True,False
9,LIN,LAW,26,27,1,3.661000000000058,MEDIUM>HARD,25.0,42.02933478849646,25.0,MEDIUM,True,9,8,30,9,8,False,-0.10866666666665026,1.2695300447743896,1.387219726534819,1.387219726534819,-2.2737802734652393,-2.2737802734652393,,False,False
