round,driver,lap,issued_s,label_s,control_selection_s,pair,new_compound,old_age,new_age,raw_step_s,control_step_s,relative_step_s,controls,control_n,placebo_relative_s,pretrend_corrected_s,control_mad_s,pre_traffic,post_traffic,pre_mean_s,post_mean_s
7,HAD,14,4416.762,4886.446,4886.446,MEDIUM>HARD,HARD,14,2,2.86933333333333,,,"LIN,ALO",2,0.5420000000000016,,,0.4260173333333333,0.17985966666666664,85.15066666666667,82.28133333333334
7,LEC,15,4479.933,4974.286,4974.286,MEDIUM>HARD,HARD,15,2,1.8696666666666886,-0.18616666666666504,2.0558333333333536,"LAW,HAM,LIN,ALO",4,-0.29299999999999216,2.3488333333333458,0.32116666666666305,0.017892666666666668,0.020338333333333333,83.84833333333334,81.97866666666665
7,BEA,17,4690.763,5173.288,5173.288,MEDIUM>HARD,HARD,17,2,1.7693333333333499,-0.3226666666666773,2.092000000000027,"ALB,PER,LAW,COL,OCO",5,,,0.23733333333333917,0.04050766666666667,0.509127,86.24533333333333,84.47599999999998
7,ALO,20,4974.286,5430.444,5430.444,HARD>HARD,HARD,20,2,2.1820000000000164,-1.0470000000000113,3.2290000000000276,"PER,ALB,COL,OCO,SAI",5,-0.4383333333333326,3.66733333333336,0.40800000000000125,0.4568736666666667,0.015526666666666666,87.90066666666667,85.71866666666665
7,LIN,21,5024.573,5516.135,5516.135,MEDIUM>HARD,HARD,21,2,2.4143333333333317,-1.1276666666666841,3.542000000000016,"ALB,PER,OCO,SAI,HUL",5,0.33466666666666356,3.2073333333333522,0.369000000000014,0.05346633333333333,0.4292126666666667,86.382,83.96766666666667
7,HAM,26,5395.331,5945.335,5945.335,HARD>MEDIUM,MEDIUM,15,2,2.4056666666666757,-0.5953333333333575,3.001000000000033,"HAD,RUS,LEC,PIA,NOR",5,-0.17600000000001614,3.1770000000000493,0.11433333333336293,0.1419446666666667,0.26175133333333334,83.16166666666668,80.756
7,ALB,28,5660.053,6122.707,6122.707,HARD>HARD,HARD,15,2,2.1173333333333204,-0.03699999999999193,2.1543333333333123,"OCO,ALO,GAS,LIN,LAW",5,-0.10333333333332462,2.257666666666637,0.1419999999999959,0.14926166666666665,0.27033433333333334,86.29233333333333,84.17500000000001
7,VER,28,5573.71,6122.707,6122.707,MEDIUM>HARD,HARD,16,2,1.8389999999999844,-0.42433333333332257,2.263333333333307,"RUS,LEC,NOR,PIA,LIN",5,-0.26866666666667527,2.5319999999999823,0.037666666666666515,0.056104666666666664,0.065453,83.33466666666666,81.49566666666668
7,SAI,29,5723.583,6207.995,6207.995,HARD>HARD,HARD,15,2,1.3660000000000139,-0.10199999999998965,1.4680000000000035,"LAW,ALO,GAS,BEA,RUS",5,0.08866666666665424,1.3793333333333493,0.23133333333332473,0.021442666666666665,0.17055266666666669,85.39300000000001,84.027
7,PER,30,5842.063,7057.631,7057.631,HARD>HARD,HARD,18,2,2.441666666666677,-0.34499999999999886,2.786666666666676,"ALO,LIN,GAS,BEA,LEC",5,0.3720000000000141,2.414666666666662,0.200666666666649,0.08432466666666666,0.151236,86.83933333333334,84.39766666666667
7,HAD,31,5855.164,7140.782,7140.782,HARD>HARD,HARD,16,2,2.379666666666651,-0.27933333333332655,2.6589999999999776,"BEA,GAS,ANT,LEC,ALO",5,-0.3976666666666233,3.056666666666601,0.25,0.19022333333333333,0.185022,84.16799999999999,81.78833333333334
7,BOR,32,5985.048,7223.977,7223.977,HARD>HARD,HARD,17,2,3.168999999999997,-0.28899999999998727,3.457999999999984,"ALO,GAS,BEA,LEC,HAM",5,-2.00266666666667,5.460666666666654,0.31133333333333724,0.414892,0.037841,86.832,83.663
7,COL,33,6049.924,7307.171,7307.171,HARD>HARD,HARD,21,2,0.7893333333333317,-0.394999999999996,1.1843333333333277,"GAS,BEA,LEC,VER,HAM",5,-0.1876666666666864,1.372000000000014,0.09199999999998454,0.5568873333333334,0.6272596666666667,85.00533333333334,84.21600000000001
7,NOR,34,6063.1,7390.458,7390.458,HARD>HARD,HARD,21,2,2.3506666666666547,,,"VER,HAM",2,0.11700000000000443,,,0.229733,0.48978866666666665,83.187,80.83633333333334
7,BOR,52,7722.235,8810.457,8810.457,HARD>SOFT,SOFT,19,2,2.1573333333333267,0.14733333333333576,2.009999999999991,"LAW,COL,LIN,GAS,PIA",5,0.40166666666667084,1.60833333333332,0.1636666666666713,0.154762,0.23745433333333332,84.07633333333332,81.919
7,SAI,54,7888.375,8810.457,8810.457,HARD>MEDIUM,MEDIUM,24,2,2.3346666666666778,-0.007000000000005002,2.3416666666666828,"COL,LAW,GAS,LIN,PIA",5,-0.03900000000001569,2.3806666666666985,0.5843333333333476,0.031558333333333334,0.23521766666666669,84.53333333333335,82.19866666666667
8,HAM,11,4228.986,4651.902,4651.902,MEDIUM>HARD,HARD,11,2,0.8606666666666598,-0.19033333333334213,1.051000000000002,"VER,HAD,ANT,PIA,NOR",5,-0.3329999999999984,1.3840000000000003,0.15366666666665196,0.08547333333333333,0.305747,73.33366666666666,72.473
8,GAS,12,4328.712,4726.045,4726.045,MEDIUM>HARD,HARD,12,2,2.0363333333333458,0.49833333333333485,1.538000000000011,"OCO,HUL,BEA,ALB,COL",5,0.10233333333333405,1.4356666666666769,0.1076666666666597,0.9668873333333333,0.29219066666666665,75.22833333333334,73.192
8,LEC,12,4307.049,4726.045,4726.045,MEDIUM>HARD,HARD,12,2,0.5523333333333511,0.17166666666665265,0.38066666666669846,"PIA,HAD,VER,NOR,ANT",5,0.31799999999998363,0.06266666666671483,0.21066666666665412,0.065977,0.230688,73.32900000000001,72.77666666666666
8,SAI,13,4407.115,4799.91,4799.91,SOFT>MEDIUM,MEDIUM,13,2,1.1836666666666815,0.24899999999999523,0.9346666666666863,"HUL,COL,BEA,STR,ALO",5,0.027999999999991587,0.9066666666666947,0.347999999999999,0.7608536666666667,0.022507333333333334,75.28733333333334,74.10366666666665
8,BOR,16,4618.349,5030.997,5030.997,SOFT>MEDIUM,MEDIUM,16,2,1.4193333333333413,-0.11299999999999955,1.5323333333333409,"BEA,ALO,ANT,HAM,STR",5,-0.061333333333323026,1.593666666666664,0.07066666666666777,0.16113433333333335,0.5330656666666667,74.29233333333333,72.87299999999999
